dataset,column,dtype_after_preparation,row_count,non_null_count,missing_count,missing_pct
listing,ListingKeyNumeric,int64,616099,616099,0,0.0
listing,MLSAreaMajor,str,616099,532313,83786,13.599438
listing,TaxAnnualAmount,float64,616099,0,616099,100.0
listing,CountyOrParish,str,616099,616099,0,0.0
listing,MlsStatus,str,616099,616099,0,0.0
listing,ElementarySchool,str,616099,73363,542736,88.092336
listing,AttachedGarageYN,object,616099,508147,107952,17.521859
listing,ParkingTotal,float64,616099,616079,20,0.003246
listing,BuilderName,str,616099,28315,587784,95.404148
listing,PropertySubType,str,616099,614686,1413,0.229346
listing,LotSizeAcres,float64,616099,565707,50392,8.179205
listing,SubdivisionName,str,616099,226127,389972,63.29697
listing,BuyerOfficeAOR,str,616099,147903,468196,75.993631
listing,YearBuilt,float64,616099,615036,1063,0.172537
listing,BuyerAgencyCompensationType,float64 | str,616099,79013,537086,87.175275
listing,StreetNumberNumeric,float64,616099,614950,1149,0.186496
listing,ListingId,str,616099,616099,0,0.0
listing,BathroomsTotalInteger,float64 | int64,616099,616042,57,0.009252
listing,City,str,616099,615495,604,0.098036
listing,BuyerAgencyCompensation,float64,616099,78993,537106,87.178522
listing,TaxYear,float64,616099,0,616099,100.0
listing,BuildingAreaTotal,float64,616099,55115,560984,91.054197
listing,BedroomsTotal,float64,616099,615935,164,0.026619
listing,ContractStatusChangeDate,datetime64[us],616099,608822,7277,1.181141
listing,ElementarySchoolDistrict,float64,616099,0,616099,100.0
listing,CoBuyerAgentFirstName,str,616099,14525,601574,97.642424
listing,PurchaseContractDate,datetime64[us],616099,287164,328935,53.389958
listing,ListingContractDate,datetime64[us],616099,616099,0,0.0
listing,BelowGradeFinishedArea,float64,616099,3543,612556,99.42493
listing,BusinessType,float64,616099,0,616099,100.0
listing,StateOrProvince,str,616099,616036,63,0.010226
listing,CoveredSpaces,float64,616099,0,616099,100.0
listing,MiddleOrJuniorSchool,str,616099,73415,542684,88.083896
listing,FireplaceYN,object,616099,615445,654,0.106152
listing,Stories,float64,616099,507726,108373,17.590192
listing,HighSchool,str,616099,96227,519872,84.381244
listing,Levels,str,616099,548992,67107,10.892243
listing,LotSizeDimensions,str,616099,32297,583802,94.757823
listing,LotSizeArea,float64,616099,566644,49455,8.027119
listing,MainLevelBedrooms,float64,616099,333993,282106,45.78907
listing,NewConstructionYN,object,616099,573786,42313,6.86789
listing,GarageSpaces,float64,616099,581743,34356,5.576377
listing,HighSchoolDistrict,str,616099,430508,185591,30.123568
listing,PostalCode,str,616099,616078,21,0.003409
listing,AssociationFee,float64,616099,467532,148567,24.114144
listing,LotSizeSquareFeet,float64,616099,566446,49653,8.059257
listing,MiddleOrJuniorSchoolDistrict,float64,616099,0,616099,100.0
listing,year_month,str,616099,616099,0,0.0
listing,rate_30yr_fixed,float64,616099,616099,0,0.0
