ListOfficeName,transaction_count,total_sales_volume,median_close_price,median_price_per_sqft,average_days_on_market,median_days_on_market,average_price_ratio,average_original_price_ratio,average_listing_to_contract_days,average_contract_to_close_days,transaction_share_pct,sales_volume_share_pct,transaction_count_rank,sales_volume_rank
Wah Hing Corp.,20,17968000.0,825000.0,548.4,12.8,13.0,1.0384,1.039,12.8,32.3,0.00447032,0.00336864,2368,2506
Linkhome Realty Group,16,17941500.0,995000.0,426.43,30.25,20.0,0.9749,1.5014,33.25,31.69,0.00357626,0.00336367,2824,2507
Starritt Realtors,13,17934000.0,1007500.0,600.6,13.69,10.0,1.0288,1.0267,13.69,24.85,0.00290571,0.00336227,3339,2508
Arbor Real Estate Group,17,17931000.0,1100000.0,730.85,29.53,12.0,0.9922,0.9741,43.24,25.47,0.00379977,0.0033617,2693,2509
Scope Real Estate,9,17915000.0,1805000.0,962.67,10.0,9.0,1.077,1.077,10.0,22.0,0.00201165,0.0033587,4401,2510
A.C. Goldt Realty,22,17911000.0,712500.0,545.2,27.64,23.5,0.9835,0.9658,28.05,25.09,0.00491735,0.00335795,2171,2511
"Bright Star Estates, Inc.",29,17894400.0,605000.0,398.12,30.34,16.0,0.9977,0.9554,39.97,32.97,0.00648197,0.00335484,1757,2512
United Real Estate Pacific States,27,17863500.0,675000.0,486.63,44.81,32.0,0.994,0.9804,55.52,45.26,0.00603494,0.00334905,1862,2513
Westwind Realty,20,17860500.0,850000.0,631.9,31.3,19.5,0.9877,0.9761,32.4,31.2,0.00447032,0.00334849,2368,2514
Shore Management Inc,18,17860000.0,860000.0,698.97,28.06,18.0,0.9756,0.9398,44.94,27.44,0.00402329,0.00334839,2568,2515
Chris Broadhurst,5,17840000.0,2300000.0,1251.36,8.0,6.0,1.0242,1.0242,11.2,17.2,0.00111758,0.00334464,6570,2516
New Cal Realty,13,17834000.0,1449000.0,613.65,23.92,16.0,1.003,0.9969,23.92,25.69,0.00290571,0.00334352,3339,2517
Impact,19,17828500.0,837000.0,458.57,32.16,19.0,0.9944,0.9866,49.63,27.68,0.00424681,0.00334249,2472,2518
"Excel Funding Real Estate Services, Inc.",15,17826000.0,765000.0,625.52,100.0,22.0,0.9559,0.9023,177.4,33.33,0.00335274,0.00334202,2970,2519
Realcom Associates,11,17797000.0,1600000.0,972.35,15.45,6.0,1.0937,1.1111,25.91,35.18,0.00245868,0.00333658,3778,2520
Barcode Properties,12,17777000.0,1212500.0,537.76,85.17,54.5,0.9737,0.9408,93.82,44.82,0.00268219,0.00333283,3540,2521
Pacific Properties Realty Group,21,17768000.0,740000.0,579.94,47.38,24.0,1.0045,0.9869,54.24,33.38,0.00469384,0.00333114,2274,2522
Better Choice Real Estate,55,17760500.0,315000.0,243.48,79.53,58.0,0.9605,0.9254,83.4,39.51,0.01229339,0.00332974,1031,2523
Elite Properties Realty,8,17760000.0,2212500.0,973.1,97.38,88.0,0.9597,0.9026,97.5,29.12,0.00178813,0.00332964,4808,2524
Metro Realty So. California,22,17759500.0,647500.0,535.61,43.32,33.0,0.997,0.9756,49.14,42.36,0.00491735,0.00332955,2171,2525
Keller Williams Realty La Cana,12,17743000.0,1412500.0,783.82,20.33,14.5,1.0833,1.0887,40.17,24.33,0.00268219,0.00332646,3540,2526
Leon Dienes & Associates,20,17738500.0,952500.0,661.88,12.35,8.0,1.0201,1.0202,12.35,25.05,0.00447032,0.00332561,2368,2527
Realty World - Advantage,22,17733898.0,714950.0,454.66,55.14,54.5,0.9816,0.959,62.95,35.82,0.00491735,0.00332475,2171,2528
"Latrice Deluna, Broker",17,17727388.0,875000.0,653.47,14.59,6.0,1.0204,1.0088,35.06,26.47,0.00379977,0.00332353,2693,2529
CALDWELL & TAYLOR REALTY,37,17723499.0,510000.0,324.5,39.41,18.0,0.9815,0.963,43.89,30.38,0.0082701,0.0033228,1428,2530
Clark & Associates,10,17720888.0,1540000.0,616.84,46.1,33.5,0.9669,0.9273,55.6,59.7,0.00223516,0.00332231,4060,2531
Keller Williams Premier Prop.,22,17708349.0,738500.0,353.72,30.41,22.5,0.9907,0.9816,75.0,28.59,0.00491735,0.00331996,2171,2532
TopSky Realty Inc.,17,17700000.0,968000.0,522.73,24.88,12.0,0.9919,0.9882,43.12,35.41,0.00379977,0.00331839,2693,2533
Main Source Real Estate,30,17685000.0,500000.0,409.93,37.27,22.0,1.0161,0.9955,41.63,41.27,0.00670548,0.00331558,1700,2534
CASCADE PACIFIC REAL ESTATE,18,17663999.0,980000.0,355.99,33.06,20.0,0.9912,0.9764,34.94,38.0,0.00402329,0.00331165,2568,2535
"Minka Hull, Broker",15,17656300.0,1100000.0,643.94,57.47,48.0,0.9816,0.9357,67.53,25.93,0.00335274,0.0033102,2970,2536
SellorBuy Inc.,18,17634550.0,1011000.0,651.31,19.94,7.0,1.0324,1.0272,23.0,27.17,0.00402329,0.00330612,2568,2537
"Kenneth Harter, Broker",12,17632000.0,1452500.0,703.26,46.17,39.5,0.9952,1.6645,52.42,32.75,0.00268219,0.00330565,3540,2538
Equity Pacific Coast,23,17627000.0,706500.0,562.61,37.39,25.0,0.9795,0.9613,44.83,32.22,0.00514087,0.00330471,2103,2539
Platinum Star Properties,30,17618250.0,587000.0,400.38,56.7,44.0,1.005,0.9706,63.3,24.3,0.00670548,0.00330307,1700,2540
Re/Max Freedom,33,17605250.0,480000.0,277.09,44.18,31.0,1.0216,1.006,53.06,38.09,0.00737603,0.00330063,1568,2541
Coastal Real Estate Group,14,17594500.0,1256250.0,679.68,34.5,18.5,1.0021,0.9855,40.21,31.86,0.00312923,0.00329862,3148,2542
Outland and Associates Real Estate,33,17592498.0,390000.0,297.74,44.42,21.0,1.0098,0.9851,54.3,42.18,0.00737603,0.00329824,1568,2543
Tessellation Real Estate,13,17589000.0,1275000.0,828.57,11.0,10.0,1.0263,1.0233,11.0,25.77,0.00290571,0.00329758,3339,2544
HCM Real Estate,15,17565000.0,985000.0,653.52,26.93,18.0,0.9826,0.9688,30.07,25.87,0.00335274,0.00329309,2970,2545
Bramin Atler,10,17557309.0,1735000.0,876.12,51.7,18.0,0.969,0.9415,51.7,27.6,0.00223516,0.00329164,4060,2546
Park Place Realty,36,17554259.0,447500.0,348.64,50.67,21.5,0.9844,0.964,54.67,37.31,0.00804658,0.00329107,1464,2547
Knopp Coastal Realty,17,17542000.0,840000.0,532.66,25.71,16.0,0.9951,0.9822,28.71,26.47,0.00379977,0.00328877,2693,2548
Gold Star Realty - Encino,13,17526000.0,875000.0,674.6,65.77,46.0,0.9546,0.9569,71.54,30.15,0.00290571,0.00328577,3339,2549
Boydstun Rlty & Prop Mngmt Inc,20,17520375.0,879500.0,541.04,26.9,14.0,0.9911,0.9768,29.95,27.45,0.00447032,0.00328472,2368,2550
SHELL PROPERTIES,25,17519110.0,660000.0,342.8,48.52,18.0,0.9759,0.9581,55.96,32.24,0.0055879,0.00328448,1976,2551
The Real Estate Group,18,17507000.0,885000.0,636.73,30.78,13.5,1.0001,0.9961,36.17,28.78,0.00402329,0.00328221,2568,2552
"R.R.Gable, Inc.",17,17505500.0,895000.0,550.25,36.71,11.0,0.9927,0.9575,65.59,34.59,0.00379977,0.00328193,2693,2553
Home Advantage Corp,17,17474888.0,975000.0,630.34,27.47,18.0,1.0148,1.0082,32.59,24.53,0.00379977,0.00327619,2693,2554
Maxwell Realty Inc,20,17470000.0,762000.0,404.79,62.6,26.0,0.9822,0.9553,79.1,46.35,0.00447032,0.00327527,2368,2555
WE SELL HOMES REALTY,29,17459500.0,580000.0,389.22,29.34,15.0,0.9912,0.9826,33.69,51.48,0.00648197,0.00327331,1757,2556
Success Realty Inc,14,17448000.0,1230000.0,688.54,25.14,16.5,1.0257,1.0176,25.14,26.07,0.00312923,0.00327115,3148,2557
Mariani Realty,18,17441500.0,935000.0,546.1,27.61,6.5,0.9949,0.983,30.44,34.72,0.00402329,0.00326993,2568,2558
A. Meadows Real Estate,17,17427000.0,810000.0,497.4,41.88,19.0,0.9798,0.9576,42.94,26.06,0.00379977,0.00326721,2693,2559
Joshua Tree Realty,53,17422200.0,285000.0,304.26,57.49,28.0,0.9515,17.5463,66.87,30.28,0.01184636,0.00326631,1074,2560
Bay Realty,17,17401900.0,715000.0,577.48,47.24,33.0,0.9887,0.969,50.35,29.24,0.00379977,0.00326251,2693,2561
"Valley Star Realty, Inc.",28,17397500.0,712500.0,424.35,37.14,27.0,0.9971,1.2838,43.96,40.21,0.00625845,0.00326168,1800,2562
Century 21 Masters-SM,25,17397195.0,666195.0,415.75,25.84,10.0,1.0053,0.9925,38.96,33.48,0.0055879,0.00326162,1976,2563
Ladera Realty Group,12,17396999.0,1439500.0,646.09,28.67,12.5,0.9976,0.9841,32.25,27.67,0.00268219,0.00326159,3540,2564
Pacific Realty Property Sales,24,17384200.0,712000.0,606.47,41.29,37.0,0.9839,0.9641,49.96,35.04,0.00536439,0.00325919,2054,2565
Fidelity Realty,19,17383500.0,660000.0,415.2,18.05,10.0,1.0343,1.0273,18.74,27.84,0.00424681,0.00325906,2472,2566
Oasis Realty Group Inc,55,17383150.0,300000.0,219.42,62.96,38.0,0.9784,0.9505,81.8,44.49,0.01229339,0.00325899,1031,2567
Bay City Real Estate Group,16,17383000.0,717500.0,429.42,62.0,44.0,1.0063,0.9775,69.06,32.69,0.00357626,0.00325896,2824,2568
Salt & Pine Real Estate,10,17374000.0,1526500.0,838.41,12.7,10.0,1.2815,1.2815,12.8,19.1,0.00223516,0.00325728,4060,2569
Realty ONE Group American,11,17370000.0,1325000.0,993.25,11.45,7.0,1.0703,1.0703,11.82,23.91,0.00245868,0.00325653,3778,2570
"Quality Homes & Loans, Inc.",34,17369000.0,512500.0,393.59,28.5,19.5,0.9992,0.9886,37.56,38.03,0.00759955,0.00325634,1529,2571
Sell My Home Real Estate,22,17365500.0,655000.0,418.84,43.55,26.0,0.9959,0.9679,50.59,31.68,0.00491735,0.00325568,2171,2572
Re/Max Omega,18,17362921.0,967500.0,621.8,56.06,21.0,1.0171,1.0013,59.28,28.0,0.00402329,0.0032552,2568,2573
Homemark Realty,13,17359818.0,1354900.0,605.95,19.38,7.0,1.0111,1.0094,20.69,36.69,0.00290571,0.00325462,3339,2574
Century 21 Diamond,21,17354888.0,730000.0,547.36,58.43,41.0,0.9661,0.9359,85.48,34.95,0.00469384,0.00325369,2274,2575
"Miritz Real Estate, Inc.",17,17343690.0,781000.0,855.07,23.0,12.0,1.0297,1.0106,17.94,21.0,0.00379977,0.00325159,2693,2576
"Wilshire Advisory Group, Inc",14,17339300.0,894000.0,506.45,37.36,26.5,0.9772,0.9574,37.36,32.64,0.00312923,0.00325077,3148,2577
"Stubbs Real Estate, Inc.",12,17332800.0,1300000.0,935.45,13.33,12.5,0.9797,0.9782,26.25,29.33,0.00268219,0.00324955,3540,2578
CJ3 Realty,24,17325500.0,615000.0,556.79,24.62,17.5,1.0025,1.001,24.92,32.92,0.00536439,0.00324818,2054,2579
Engel & Volkers Santa Clarita,23,17325400.0,715000.0,468.52,27.0,11.0,0.9461,0.9451,80.96,35.04,0.00514087,0.00324816,2103,2580
Engel & Voelkers Mendocino,22,17323000.0,837500.0,446.34,60.36,27.5,0.9829,0.9508,91.82,32.09,0.00491735,0.00324771,2171,2581
Strategic Estates Group,16,17320000.0,960000.0,594.95,45.75,21.0,1.0154,0.992,47.0,42.25,0.00357626,0.00324715,2824,2582
"Trusted Real Estate Enterprises, Inc.",14,17317000.0,990000.0,558.51,16.0,7.5,0.9729,0.9641,58.93,35.43,0.00312923,0.00324659,3148,2583
Pacific Sterling Properties,16,17307820.0,930000.0,631.48,21.38,8.5,1.014,1.0106,21.75,26.0,0.00357626,0.00324487,2824,2584
Hunstad Realty,20,17305000.0,798500.0,513.68,15.65,6.0,0.9986,0.9932,20.15,28.2,0.00447032,0.00324434,2368,2585
