top100_sales_volume_position,BuyerOfficeName,transaction_count,total_sales_volume,median_close_price,median_price_per_sqft,average_days_on_market,median_days_on_market,average_price_ratio,average_original_price_ratio,average_listing_to_contract_days,average_contract_to_close_days,transaction_share_pct,sales_volume_share_pct,transaction_count_rank,sales_volume_rank
50,OUT OF AREA,1070,1121698064.4,770000.0,473.94,39.25,23.0,0.9957,0.9874,48.4,29.49,0.23916226,0.21029588,39,52
51,Golden Gate Sotheby's International Realty,459,1118455208.0,1850000.0,1041.09,24.72,11.0,1.0522,1.0387,25.0,22.98,0.1025939,0.20968791,120,53
52,Vista Sotheby’s International Realty,507,1107763246.75,1725000.0,910.91,31.95,13.0,1.0041,0.99,41.36,33.18,0.11332268,0.20768338,104,54
53,T.N.G. Real Estate Consultants,1092,1099586864.0,880000.0,569.36,30.85,13.0,1.0064,1.0091,41.16,31.08,0.24407962,0.20615047,38,55
54,Red Oak Realty,882,1093314141.0,1155500.0,746.4,23.39,14.0,1.1735,1.1679,24.62,20.48,0.19714123,0.20497446,49,56
55,Harvest Realty Development,667,1092652526.0,1320000.0,652.33,31.32,15.0,1.0083,1.0134,42.12,33.17,0.14908526,0.20485042,76,57
56,Keller Williams Beverly Hills,720,1092138891.0,1125000.0,699.71,41.48,24.0,0.9941,0.9881,46.37,34.31,0.16093162,0.20475413,68,58
57,MLSListing,1005,1080403702.0,868000.0,560.27,29.73,15.0,1.0388,1.0162,31.04,27.45,0.22463371,0.20255402,44,59
58,Acropolis Enterprise Inc.,71,1032758216.0,843000.0,605.88,24.62,10.0,15.0171,14.6702,30.14,28.83,0.01586965,0.19362144,769,60
59,Coldwell Banker,756,1018863500.0,1130000.0,619.59,29.45,14.0,1.0119,0.9975,31.04,24.78,0.1689782,0.19101646,64,61
60,Keller Williams Tri-Valley,699,1004432611.0,1275000.0,700.55,19.53,10.0,1.018,1.0084,20.28,25.1,0.15623778,0.18831096,71,62
61,KW Advisors East Bay,812,997080707.0,1077500.0,653.2,27.19,14.0,1.0962,2.4386,28.03,23.0,0.1814951,0.18693263,61,63
62,eXp Realty of California,1015,950823741.0,800000.0,556.7,30.75,16.0,1.024,1.0086,34.55,27.23,0.22686887,0.17826037,42,64
63,Century 21 Affiliated,1029,946177388.0,800000.0,507.96,29.01,14.0,1.0081,0.9964,37.69,30.76,0.2299981,0.17738927,41,65
64,RE/MAX One,855,926843444.0,873000.0,524.1,36.77,19.0,0.9992,0.983,43.14,31.44,0.19110629,0.17376455,52,66
65,Arbor Real Estate,307,924636811.0,1745000.0,907.54,39.18,16.0,0.9882,0.972,47.12,29.77,0.06861945,0.17335085,200,67
66,Elevate Real Estate Agency,607,908328057.0,615000.0,370.17,43.73,23.0,2.6191,2.5692,54.69,34.86,0.13567429,0.17029328,84,68
67,Century 21 Allstars,1257,893929315.0,670000.0,502.54,34.34,18.0,1.0087,1.8006,45.96,37.57,0.28095978,0.16759381,35,69
68,Barry Estates,167,862565524.0,4300000.0,1006.5,49.54,30.0,0.9575,0.9399,55.42,26.31,0.03732719,0.16171373,357,70
69,Coldwell Banker Country Realty,29,859601900.0,769000.0,465.0,26.17,10.0,35.46,35.4512,40.72,42.79,0.00648197,0.16115811,1632,71
70,REALTY ONE GROUP WEST - CORONA,18,808314503.0,556107.5,356.96,32.33,15.0,54.5593,52.9723,64.5,34.56,0.00402329,0.15154275,2437,72
71,eXp Realty of Greater Los Angeles,908,805486445.0,750000.0,502.94,41.88,21.0,1.0021,0.9932,50.92,34.43,0.20295265,0.15101255,47,73
